station_id,lead_hours,n_pairs,mean_signed_error_cm,mae_cm,rmse_cm,bias_cm,within_5cm_pct,within_10cm_pct,within_20cm_pct,first_date,last_date,maturity
434d580b-1bc9-4210-aea9-3d263e8251fe,72,3,2,2,2.581988897471611,2,100,100,100,2026-08-05,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,96,2,2.5,2.5,2.9154759474226504,2.5,100,100,100,2026-08-06,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,120,1,1,1,1,1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,24,5,0,0.8,0.8944271909999159,0,100,100,100,2026-08-03,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,48,4,0.75,1.25,1.3228756555322954,0.75,100,100,100,2026-08-04,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,72,3,1.333333333333333333333333333,1.333333333333333333333333333,1.632993161855452,1.333333333333333333333333333,100,100,100,2026-08-05,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,96,2,1.5,1.5,1.5811388300841898,1.5,100,100,100,2026-08-06,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,120,1,1,1,1,1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,24,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,48,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,72,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,96,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,120,0,,,,,,,,,,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,24,5,-1.2,1.2,1.6733200530681511,-1.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,48,4,-2.5,2.5,3.24037034920393,-2.5,75,100,100,2026-08-04,2026-08-08,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,72,3,-3.333333333333333333333333333,3.333333333333333333333333333,3.9157800414902435,-3.333333333333333333333333333,66.66666666666666666666666667,100,100,2026-08-05,2026-08-08,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,96,2,-5,5,5.385164807134504,-5,50,100,100,2026-08-06,2026-08-08,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,120,1,-9,9,9,-9,0,100,100,2026-08-07,2026-08-07,Date insuficiente
841d8091-d02e-4c06-8391-7f5aa233b244,24,0,,,,,,,,,,Date insuficiente
841d8091-d02e-4c06-8391-7f5aa233b244,48,0,,,,,,,,,,Date insuficiente
841d8091-d02e-4c06-8391-7f5aa233b244,72,0,,,,,,,,,,Date insuficiente
841d8091-d02e-4c06-8391-7f5aa233b244,96,0,,,,,,,,,,Date insuficiente
841d8091-d02e-4c06-8391-7f5aa233b244,120,0,,,,,,,,,,Date insuficiente
89bd48d0-b491-4706-986d-d67ffc282f4e,24,0,,,,,,,,,,Date insuficiente
89bd48d0-b491-4706-986d-d67ffc282f4e,48,0,,,,,,,,,,Date insuficiente
89bd48d0-b491-4706-986d-d67ffc282f4e,72,0,,,,,,,,,,Date insuficiente
89bd48d0-b491-4706-986d-d67ffc282f4e,96,0,,,,,,,,,,Date insuficiente
89bd48d0-b491-4706-986d-d67ffc282f4e,120,0,,,,,,,,,,Date insuficiente
a4976c0d-d21d-4bda-b6bc-c19c0edc6123,24,5,0.2,0.6,1,0.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
a4976c0d-d21d-4bda-b6bc-c19c0edc6123,48,4,0,0.5,0.7071067811865476,0,100,100,100,2026-08-04,2026-08-08,Date insuficiente
a4976c0d-d21d-4bda-b6bc-c19c0edc6123,72,3,0,0.6666666666666666666666666667,0.816496580927726,0,100,100,100,2026-08-05,2026-08-08,Date insuficiente
a4976c0d-d21d-4bda-b6bc-c19c0edc6123,96,2,0,0,0,0,100,100,100,2026-08-06,2026-08-08,Date insuficiente
a4976c0d-d21d-4bda-b6bc-c19c0edc6123,120,1,-2,2,2,-2,100,100,100,2026-08-07,2026-08-07,Date insuficiente
b5ab6a64-d495-4137-b6a3-4c98d96836c9,24,5,-1,1,1.3416407864998738,-1,100,100,100,2026-08-03,2026-08-08,Date insuficiente
b5ab6a64-d495-4137-b6a3-4c98d96836c9,48,4,-1.75,1.75,2.29128784747792,-1.75,100,100,100,2026-08-04,2026-08-08,Date insuficiente
