station_id,station_nid,source_name,display_name,river_km_raw,river_km,latitude,longitude,measurement_datetime_raw,measurement_datetime,measurement_date,level_raw,level_cm,variation_raw,variation_cm_24h,temperature_raw,water_temperature_c,capture_datetime_utc,capture_datetime_local,source_changed_datetime,record_hash,first_seen_at,last_seen_at,normalization_source,quality_flag
267d20a8-8a85-4d85-97e1-8aee686e9535,88,Cernavoda,Cernavodă,300,300,44.3416349,28.0316248,2026-08-03T03:00:00+03:00,2026-08-03T03:00:00+03:00,2026-08-03,-213,-213,2,2,27.5,27.5,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,2026-08-03T05:57:31+00:00,d3e1f722595851a6081aadcd3a0eb1b137e0a2617b6f0ca9c3bb8d0be38faeff,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,AFDJ XML + reguli documentate,valid
267d20a8-8a85-4d85-97e1-8aee686e9535,88,Cernavoda,Cernavodă,300,300,44.3416349,28.0316248,2026-08-04T03:00:00+03:00,2026-08-04T03:00:00+03:00,2026-08-04,-214,-214,-1,-1,27.5,27.5,2026-08-04T12:07:23Z,2026-08-04T15:07:23+03:00,2026-08-04T05:28:57+00:00,98edb94076faab89f26bca6ac6f2c72cc73a0904e0ed819ac834d8a79d8f2815,2026-08-04T12:07:23Z,2026-08-04T12:07:23Z,AFDJ XML + reguli documentate,valid
29f3d156-04e1-46bc-b699-bbea096e212f,89,Calarasi,Călărași,370,370,44.1961646,27.3313233,2026-08-03T03:00:00+03:00,2026-08-03T03:00:00+03:00,2026-08-03,-164,-164,-1,-1,27.5,27.5,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,2026-08-03T05:57:31+00:00,1f541ce1b0614d72a99ef10451f89e9d026b4d58c0f78133b121859a574bda81,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,AFDJ XML + reguli documentate,valid
29f3d156-04e1-46bc-b699-bbea096e212f,89,Calarasi,Călărași,370,370,44.1961646,27.3313233,2026-08-04T03:00:00+03:00,2026-08-04T03:00:00+03:00,2026-08-04,-165,-165,-1,-1,27.5,27.5,2026-08-04T12:07:23Z,2026-08-04T15:07:23+03:00,2026-08-04T05:28:57+00:00,019c6f6e17a3f6c9309e0d941a59dd57609bf72673bf877b7fcb2b5bc88ac296,2026-08-04T12:07:23Z,2026-08-04T12:07:23Z,AFDJ XML + reguli documentate,valid
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,Drobeta Turnu Severin,Drobeta-Turnu Severin,931,931,44.6257835,22.6531975,2026-08-03T03:00:00+03:00,2026-08-03T03:00:00+03:00,2026-08-03,680,680,0,0,28,28,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,2026-08-03T05:57:34+00:00,6e8e277a0c8fcfc33aff464bc25ebea4b4ab2fcefd9161e0e623ddf9f7908110,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,AFDJ XML + reguli documentate,valid
3d63f295-2216-491e-86ba-a0e19b6b5fa3,100,Drobeta Turnu Severin,Drobeta-Turnu Severin,931,931,44.6257835,22.6531975,2026-08-04T03:00:00+03:00,2026-08-04T03:00:00+03:00,2026-08-04,670,670,-10,-10,28,28,2026-08-04T12:07:23Z,2026-08-04T15:07:23+03:00,2026-08-04T05:29:00+00:00,d8690c5ff968f81dc01fb2d10a435383b50c046b358b3e0d8a85565687bbfa97,2026-08-04T12:07:23Z,2026-08-04T12:07:23Z,AFDJ XML + reguli documentate,valid
434d580b-1bc9-4210-aea9-3d263e8251fe,87,Harsova,Hârșova,253,253,44.6845557,27.9513766,2026-08-03T03:00:00+03:00,2026-08-03T03:00:00+03:00,2026-08-03,-115,-115,-1,-1,27.5,27.5,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,2026-08-03T05:57:29+00:00,b159c48efff37840634e352d0ef85637ac37d9a3c2795ee89e7bab4873d4e876,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,AFDJ XML + reguli documentate,valid
434d580b-1bc9-4210-aea9-3d263e8251fe,87,Harsova,Hârșova,253,253,44.6845557,27.9513766,2026-08-04T03:00:00+03:00,2026-08-04T03:00:00+03:00,2026-08-04,-115,-115,0,0,27.5,27.5,2026-08-04T12:07:23Z,2026-08-04T15:07:23+03:00,2026-08-04T05:28:55+00:00,0d155a338a9ca7608945e3db38a964c7b493340d5db146903cc45cb0b4d064f9,2026-08-04T12:07:23Z,2026-08-04T12:07:23Z,AFDJ XML + reguli documentate,valid
5f0aaecc-01c1-4828-be3a-405bf48702b8,93,Turnu Magurele,Turnu Măgurele,597,597,43.7518306,24.8691717,2026-08-03T03:00:00+03:00,2026-08-03T03:00:00+03:00,2026-08-03,-95,-95,-1,-1,27.5,27.5,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,2026-08-03T05:57:32+00:00,bd0e6d8abb7292b87026f18edbe307f9b23b829f8b75e999d80a4940f55160bb,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,AFDJ XML + reguli documentate,valid
5f0aaecc-01c1-4828-be3a-405bf48702b8,93,Turnu Magurele,Turnu Măgurele,597,597,43.7518306,24.8691717,2026-08-04T03:00:00+03:00,2026-08-04T03:00:00+03:00,2026-08-04,-98,-98,-3,-3,27.5,27.5,2026-08-04T12:07:23Z,2026-08-04T15:07:23+03:00,2026-08-04T05:28:59+00:00,2da648c91892e4cbb0561180ee36edcc231aaa5293aafe437c5faf70beb8a640,2026-08-04T12:07:23Z,2026-08-04T12:07:23Z,AFDJ XML + reguli documentate,valid
