station_id,station_nid,forecast_issue_datetime,forecast_issue_date,target_datetime,target_date,lead_hours,forecast_level_raw,forecast_level_cm,forecast_available,availability_source,html_value_raw,xml_html_match,capture_datetime_utc,capture_datetime_local,forecast_run_hash,first_seen_at,last_seen_at,quality_flag
09b542d8-41d7-4746-8d84-e081f76a8c37,99,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,-134,-134,True,xml_with_html_mismatch,-136,False,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,468b85a287e30cb51db5dc2a735e1ada570fa0d4843f052b0a59c9552c1dd360,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,xml_html_value_mismatch
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,0819f2697ec0fe355d1709d0a8063b666567870ce9312ae20ca8163c33af2a84,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,0819f2697ec0fe355d1709d0a8063b666567870ce9312ae20ca8163c33af2a84,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,0819f2697ec0fe355d1709d0a8063b666567870ce9312ae20ca8163c33af2a84,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,0819f2697ec0fe355d1709d0a8063b666567870ce9312ae20ca8163c33af2a84,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,104,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-06T03:00:00+03:00,2026-08-06,96,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,0819f2697ec0fe355d1709d0a8063b666567870ce9312ae20ca8163c33af2a84,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
264afec2-a181-408b-979c-473e5eaf4940,103,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-07T03:00:00+03:00,2026-08-07,120,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,9d060ebb60a4665e5ebd5633d7dc3a912d88716c4f0a1ab32b3ca22ec6484727,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
264afec2-a181-408b-979c-473e5eaf4940,103,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-03T03:00:00+03:00,2026-08-03,24,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,9d060ebb60a4665e5ebd5633d7dc3a912d88716c4f0a1ab32b3ca22ec6484727,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
264afec2-a181-408b-979c-473e5eaf4940,103,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-04T03:00:00+03:00,2026-08-04,48,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,9d060ebb60a4665e5ebd5633d7dc3a912d88716c4f0a1ab32b3ca22ec6484727,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
264afec2-a181-408b-979c-473e5eaf4940,103,2026-08-02T03:00:00+03:00,2026-08-02,2026-08-05T03:00:00+03:00,2026-08-05,72,0,,False,html_blank_xml_zero,,,2026-08-03T14:01:46Z,2026-08-03T17:01:46+03:00,9d060ebb60a4665e5ebd5633d7dc3a912d88716c4f0a1ab32b3ca22ec6484727,2026-08-03T14:01:46Z,2026-08-03T14:01:46Z,missing_forecast_encoded_as_zero
