country_code,station_id,physical_station_id,source_stream_id,source_stream_type,is_primary_stream,source_station_id,isrs_location_code,station_name,station_name_local,workbook_filename,workbook_sheet,workbook_row,workbook_version,workbook_sha256,function,un_locode,object_code,hectometre,waterway_km,latitude,longitude,source_coordinate_raw,source_crs,coordinate_method,coordinate_source,coordinate_provider,coordinate_confidence,coordinate_review_status,is_exact_station_location,coordinate_verified_at,low_reference_cm,high_reference_cm,gauge_zero_cm,geodetic_reference,provenance_note
BG,bg-silistra-manual,bg-silistra,BGSLS00001G001003755:manual,manual,false,BGSLS00001G001003755,BGSLS00001G001003755,Silistra,водомерен пост Силистра,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,370,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,SLS,G0010,03755,375.5,44.12424170,27.26580560,44.12424170|27.26580560,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,86,743,627,Baltic s.,Official RIS gauge row
BG,bg-novo-selo-automatic,bg-novo-selo,BGXXX00001G000908336:automatic,automatic,true,BGXXX00001G000908336,BGXXX00001G000908336,Novo Selo,AXC Ново село,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,8,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0009,08336,833.6,44.16513330,22.78537780,44.16513330|22.78537780,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,95,787,2675,Baltic s.,Official RIS automatic hydrological station row
BG,bg-gomotartsi-automatic,bg-gomotartsi,BGXXX00001G001608190:automatic,automatic,true,BGXXX00001G001608190,BGXXX00001G001608190,Gomotartsi,АХС Гомотарци,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,13,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0016,08190,819.0,44.09585500,22.94407900,44.09585500|22.94407900,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,2893,Baltic s.,Official RIS automatic hydrological station row
BG,bg-lom-automatic,bg-lom,BGLOM00001G000707433:automatic,automatic,true,BGLOM00001G000707433,BGLOM00001G000707433,Lom,AXC Лом,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,77,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,LOM,G0007,07433,743.3,43.83220560,23.22658612,43.83220560|23.22658612,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,142,795,2265,Baltic s.,Official RIS automatic hydrological station row
BG,bg-kozloduj-automatic,bg-kozloduj,BGKOZ00001G001807039:automatic,automatic,true,BGKOZ00001G001807039,BGKOZ00001G001807039,Kozloduj,АХС Козлодуй,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,111,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,KOZ,G0018,07039,703.9,43.79878800,23.67844600,43.79878800|23.67844600,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,2362,Baltic s.,Official RIS automatic hydrological station row
BG,bg-oryahovo-automatic,bg-oryahovo,BGOKH00001G000606780:automatic,automatic,true,BGOKH00001G000606780,BGOKH00001G000606780,Oryahovo,AXC Оряхово,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,126,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,OKH,G0006,06780,678.0,43.74105000,23.96297220,43.74105000|23.96297220,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,52,658,2134,Baltic s.,Official RIS automatic hydrological station row
BG,bg-bajkal-automatic,bg-bajkal,BGXXX00001G002006408:automatic,automatic,true,BGXXX00001G002006408,BGXXX00001G002006408,Bajkal,AXC Байкал,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,138,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0020,06408,640.8,43.71326100,24.40622800,43.71326100|24.40622800,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,2147,Baltic s.,Official RIS automatic hydrological station row
BG,bg-nikopol-automatic,bg-nikopol,BGNPO00001G000505975:automatic,automatic,true,BGNPO00001G000505975,BGNPO00001G000505975,Nikopol,АХС Никопол,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,158,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,NPO,G0005,05975,597.5,43.70526100,24.89083300,43.70526100|24.89083300,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,158,776,1702,Baltic s.,Same official RIS object intentionally supports manual and automatic APPD streams
BG,bg-svishtov-automatic,bg-svishtov,BGSVZ00001G000405543:automatic,automatic,true,BGSVZ00001G000405543,BGSVZ00001G000405543,Svishtov,AXC Свищов,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,182,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,SVZ,G0004,05543,554.3,43.62322439,25.34672248,43.62322439|25.34672248,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,68,782,1489,Baltic s.,Official RIS automatic hydrological station row
BG,bg-ruse-automatic,bg-ruse,BGRDU00001G000304956:automatic,automatic,true,BGRDU00001G000304956,BGRDU00001G000304956,Ruse,AXC Русе,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,232,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,RDU,G0003,04956,495.6,43.84789720,25.94505827,43.84789720|25.94505827,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,52,783,1180,Baltic s.,Official RIS automatic hydrological station row
BG,bg-ryahovo-automatic,bg-ryahovo,BGXXX00001G002404654:automatic,automatic,true,BGXXX00001G002404654,BGXXX00001G002404654,Ryahovo,AXC Ряхово,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,322,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0024,04654,465.4,43.99152300,26.23126400,43.99152300|26.23126400,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,1394,Baltic s.,Official RIS automatic hydrological station row
BG,bg-malak-preslavets-automatic,bg-malak-preslavets,BGXXX00001G002504139:automatic,automatic,true,BGXXX00001G002504139,BGXXX00001G002504139,Malak Preslavets,AXC Малък Преславец,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,336,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0025,04139,413.9,44.10045100,26.83162400,44.10045100|26.83162400,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,991,Baltic s.,Official RIS automatic hydrological station row
BG,bg-silistra-automatic,bg-silistra,BGSLS00001G000103755:automatic,automatic,true,BGSLS00001G000103755,BGSLS00001G000103755,Silistra,AXC Силистра,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,369,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,SLS,G0001,03755,375.5,44.12424170,27.26580560,44.12424170|27.26580560,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,86,743,627,Baltic s.,Official RIS automatic hydrological station row
