station_id,country_code,station_name,station_name_local,geocoding_query,latitude,longitude,coordinate_method,coordinate_source,coordinate_provider,geocoder_result_label,geocoder_result_type,coordinate_confidence,review_status,review_notes,geocoded_at,source_url
bg-ruse-automatic,BG,Ruse,Ruse,"Ruse, Bulgaria",43.8350657,25.9579915,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Ruse, Bulgaria",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:03Z,https://nominatim.openstreetmap.org/search?q=Ruse%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-ruse-manual,BG,Ruse,Ruse,"Ruse, Bulgaria",43.8350657,25.9579915,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Ruse, Bulgaria",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:03Z,https://nominatim.openstreetmap.org/search?q=Ruse%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-ryahovo-automatic,BG,Ryahovo,Ryahovo,"Ryahovo, Bulgaria",43.98705,26.23997,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Ryahovo, Slivo Pole, Ruse, 7070, Bulgaria",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:04Z,https://nominatim.openstreetmap.org/search?q=Ryahovo%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-silistra-automatic,BG,Silistra,Силистра,"Silistra, Bulgaria",44.118308,27.2600031,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Silistra, Bulgaria",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:07Z,https://nominatim.openstreetmap.org/search?q=Silistra%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-silistra-manual,BG,Silistra,Silistra,"Silistra, Bulgaria",44.118308,27.2600031,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Silistra, Bulgaria",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:07Z,https://nominatim.openstreetmap.org/search?q=Silistra%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-svishtov-automatic,BG,Svishtov,Svishtov,"Svishtov, Bulgaria",43.6158817,25.3509536,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Svishtov, Veliko Tarnovo, 5250, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:09Z,https://nominatim.openstreetmap.org/search?q=Svishtov%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-svishtov-manual,BG,Svishtov,Svishtov,"Svishtov, Bulgaria",43.6158817,25.3509536,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Svishtov, Veliko Tarnovo, 5250, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:09Z,https://nominatim.openstreetmap.org/search?q=Svishtov%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-vidin-manual,BG,Vidin,Vidin,"Vidin, Bulgaria",43.9857242,22.8772194,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Vidin, Bulgaria",city,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:10Z,https://nominatim.openstreetmap.org/search?q=Vidin%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
de-560cf185-0052-4e40-832b-7792b52dd343,DE,KACHLET WEHR UP,KACHLET WEHR UP,"Kachlet, Passau, Germany",,,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,,,unresolved,required,"unresolved: insufficient_name_match,not_a_locality",2026-08-04T18:48:00Z,https://nominatim.openstreetmap.org/search?q=Kachlet%2C+Passau%2C+Germany&countrycodes=de&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
hr-5001,HR,Aljmas,Aljmaš,"Aljmaš, Croatia",45.5294464,18.9497264,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Aljmaš, Općina Erdut, Osijek-Baranja County, 31205, Croatia",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:44:13Z,https://nominatim.openstreetmap.org/search?q=Aljma%C5%A1%2C+Croatia&countrycodes=hr&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
